column,dtype,null_count,nan_count,null_fraction
play_id,Float64,0,0,0.0
game_id,String,0,0,0.0
old_game_id,String,0,0,0.0
home_team,String,0,0,0.0
away_team,String,0,0,0.0
season_type,String,0,0,0.0
week,Int32,0,0,0.0
posteam,String,2729,0,0.05595538332205614
posteam_type,String,2727,0,0.055914375346004797
defteam,String,2729,0,0.05595538332205614
side_of_field,String,3585,0,0.0735067970720305
yardline_100,Float64,3548,0,0.07274814951508068
game_date,String,0,0,0.0
quarter_seconds_remaining,Float64,4,0,0.00008201595210268397
half_seconds_remaining,Float64,4,0,0.00008201595210268397
game_seconds_remaining,Float64,4,0,0.00008201595210268397
game_half,String,0,0,0.0
quarter_end,Float64,0,0,0.0
drive,Float64,572,0,0.011728281150683808
sp,Float64,0,0,0.0
qtr,Float64,0,0,0.0
down,Float64,7993,0,0.16388837628918826
goal_to_go,Float64,0,0,0.0
time,String,4,0,0.00008201595210268397
yrdln,String,354,0,0.007258411761087532
ydstogo,Float64,0,0,0.0
ydsnet,Float64,572,0,0.011728281150683808
desc,String,0,0,0.0
play_type,String,1445,0,0.029628262697094586
yards_gained,Float64,1511,0,0.03098152590678887
shotgun,Float64,0,0,0.0
no_huddle,Float64,0,0,0.0
qb_dropback,Float64,1445,0,0.029628262697094586
qb_kneel,Float64,0,0,0.0
qb_spike,Float64,0,0,0.0
qb_scramble,Float64,0,0,0.0
pass_length,String,30483,0,0.6250230669865289
pass_location,String,30483,0,0.6250230669865289
air_yards,Float64,30402,0,0.6233622439564496
yards_after_catch,Float64,37023,0,0.7591191486744172
run_location,String,34004,0,0.6972176088249165
run_gap,String,37913,0,0.7773676980172644
field_goal_result,String,47631,0,0.976625453650735
kick_distance,Float64,41346,0,0.8477578889093929
extra_point_result,String,47447,0,0.9728527198540116
two_point_conv_result,String,48641,0,0.9973344815566628
home_timeouts_remaining,Float64,0,0,0.0
away_timeouts_remaining,Float64,0,0,0.0
timeout,Float64,1511,0,0.03098152590678887
timeout_team,String,46558,0,0.9546246744991901
td_team,String,47312,0,0.970084681470546
td_player_name,String,47312,0,0.970084681470546
td_player_id,String,47312,0,0.970084681470546
posteam_timeouts_remaining,Float64,2729,0,0.05595538332205614
defteam_timeouts_remaining,Float64,2729,0,0.05595538332205614
total_home_score,Float64,0,0,0.0
total_away_score,Float64,0,0,0.0
posteam_score,Float64,2729,0,0.05595538332205614
defteam_score,Float64,2729,0,0.05595538332205614
