season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average
2024,00-0035190,A.Cole,1,1,4.333918029908091,4.333918029908091,1.0,0,0,0,0,20116,0.052350872456481054,4.28156715745161,4.28156715745161
2024,00-0034348,C.Sutton,2,2,7.49073817639146,3.74536908819573,1.0,0,0,0,0,20116,0.052350872456481054,3.693018215739249,7.386036431478498
2024,00-0035156,J.Fox,1,1,3.637429093476385,3.637429093476385,1.0,0,0,0,0,20116,0.052350872456481054,3.585078221019904,3.585078221019904
2024,00-0039890,A.Mitchell,1,1,2.4456588270841166,2.4456588270841166,1.0,0,0,0,0,20116,0.052350872456481054,2.3933079546276357,2.3933079546276357
2024,00-0033319,N.Mullens,2,2,4.8687256226548925,2.4343628113274463,1.0,0,0,0,0,20116,0.052350872456481054,2.3820119388709653,4.764023877741931
2024,00-0031588,S.Diggs,2,2,4.61484260490397,2.307421302451985,1.0,0,1,0,0,20116,0.052350872456481054,2.255070429995504,4.510140859991008
2024,00-0038543,J.Smith-Njigba,1,1,2.243609394179657,2.243609394179657,1.0,0,0,0,0,20116,0.052350872456481054,2.191258521723176,2.191258521723176
2024,00-0036963,St. Brown,1,1,1.72411598067265,1.72411598067265,1.0,0,0,0,0,20116,0.052350872456481054,1.671765108216169,1.671765108216169
2024,00-0035685,D.Montgomery,1,1,1.5191485377727076,1.5191485377727076,1.0,0,0,0,0,20116,0.052350872456481054,1.4667976653162267,1.4667976653162267
2024,00-0034577,K.Allen,1,1,1.4325529362540692,1.4325529362540692,1.0,0,0,0,0,20116,0.052350872456481054,1.3802020637975883,1.3802020637975883
2024,00-0036322,J.Jefferson,2,2,2.832186913350597,1.4160934566752985,0.5,0,1,0,0,20116,0.052350872456481054,1.3637425842188176,2.727485168437635
2024,00-0039491,J.Coker,1,1,1.3107093420112506,1.3107093420112506,1.0,0,0,0,0,20116,0.052350872456481054,1.2583584695547696,1.2583584695547696
2024,00-0035264,J.Stidham,1,1,1.2270381833077408,1.2270381833077408,1.0,0,1,0,1,20116,0.052350872456481054,1.1746873108512599,1.1746873108512599
2024,00-0034418,C.Wilson,2,2,1.1512166903703474,0.5756083451851737,0.5,1,0,0,0,20116,0.052350872456481054,0.5232574727286926,1.0465149454573852
2024,00-0028118,T.Taylor,24,2,12.859934812120628,0.5358306171716928,0.625,0,2,1,0,20116,0.052350872456481054,0.4834797447152117,11.603513873165083
2024,00-0039398,J.Milton,31,1,13.345608347172167,0.4305034950700699,0.5161290322580645,0,2,1,0,20116,0.052350872456481054,0.37815262261358884,11.722731301021254
2024,00-0032268,M.Mariota,50,3,21.513828297803983,0.43027656595607966,0.56,3,4,0,0,20116,0.052350872456481054,0.3779256934995986,18.89628467497993
2024,00-0033869,M.Trubisky,27,5,9.908107053776796,0.3669669279176591,0.4074074074074074,0,1,2,0,20116,0.052350872456481054,0.31461605546117805,8.494633497451808
2024,00-0034796,L.Jackson,538,17,191.58730195233042,0.3561102266771941,0.533457249070632,23,46,9,0,20116,0.052350872456481054,0.30375935422071304,163.4225325707436
2024,00-0038400,T.McKee,47,2,14.677713276299727,0.3122917718361644,0.5319148936170213,2,0,1,0,20116,0.052350872456481054,0.25994089937968334,12.217222270845117
2024,00-0038128,M.Willis,70,6,21.42052297676531,0.3060074710966473,0.4142857142857143,8,8,0,0,20116,0.052350872456481054,0.2536565986401662,17.755961904811635
2024,00-0034857,J.Allen,539,16,163.89117417164763,0.3040652582034279,0.49907235621521334,14,43,9,0,20116,0.052350872456481054,0.2517143857469468,135.67405391760434
2024,00-0036928,K.Trask,1,1,0.29781093914061785,0.29781093914061785,1.0,0,0,0,0,20116,0.052350872456481054,0.24546006668413678,0.24546006668413678
2024,00-0033106,J.Goff,581,17,160.8769769553907,0.2768966901125485,0.5421686746987951,31,14,12,0,20116,0.052350872456481054,0.22454581765606746,130.4611200581752
2024,00-0036212,T.Tagovailoa,425,11,93.42606781184945,0.219826041910234,0.5341176470588235,21,7,8,0,20116,0.052350872456481054,0.16747516945375296,71.17694701784501
2024,00-0034855,B.Mayfield,651,17,127.90208926871232,0.19647018320846746,0.522273425499232,40,42,10,0,20116,0.052350872456481054,0.14411931075198642,93.82167129954314
2024,00-0037834,B.Purdy,525,15,97.75480343629614,0.18619962559294503,0.5066666666666667,31,44,7,0,20116,0.052350872456481054,0.133848753136464,70.27059539664359
