dropback_player_id,player,first_observed_season,last_observed_season,observed_seasons,qualified_seasons,qualified_seasons_above_100,dropbacks,dropback_weighted_season_pass_plus,pooled_adjusted_epa_per_dropback,sum_season_adjusted_epa_above_average
00-0019596,T.Brady,2017,2022,6,6,5,3995,107.43271384834308,0.13446006311242795,381.8490867792853
00-0020531,D.Brees,2017,2020,4,4,4,1856,112.80458538854985,0.21039222672827607,310.9455454079007
00-0021206,J.McCown,2017,2019,3,1,1,571,97.85719882711645,-0.016224481554075153,-18.80895289193311
00-0021429,C.Palmer,2017,2017,1,1,0,290,94.3330176698034,-0.069216645333237,-21.71593242796227
00-0022787,M.Schaub,2018,2019,2,0,0,74,117.05396372540932,0.23914927320445498,14.469588860857575
00-0022803,E.Manning,2017,2019,3,2,0,1387,95.29336339153284,-0.029150334762920258,-85.58891855085122
00-0022824,A.Lee,2019,2022,3,0,0,3,404.44179277481,3.700823600460739,10.966823144709743
00-0022921,L.Fitzgerald,2017,2018,2,0,0,2,254.57333139416747,2.1888595187958764,4.315755542642966
00-0022924,B.Roethlisberger,2017,2021,5,4,2,2629,102.4707884699267,0.08380029241906882,99.739818359743
00-0022942,P.Rivers,2017,2025,5,4,4,2423,107.61231337223921,0.14585615669579552,245.00899141539588
00-0023436,A.Smith,2017,2020,3,3,1,1218,100.2277634789347,0.042995369515528445,6.779443548475562
00-0023459,A.Rodgers,2017,2025,9,8,5,4487,105.74564079925001,0.11630667567529279,322.43811890421694
00-0023534,D.Colquitt,2019,2019,1,0,0,1,-96.60198091938096,-2.2891110872562654,-2.331400252235274
00-0023645,D.Anderson,2017,2018,2,0,0,83,54.79195235642761,-0.5904619365822701,-53.27598887869885
00-0023662,M.Cassel,2017,2018,2,0,0,69,41.75817593633019,-0.7658492287240828,-54.19654547468186
00-0023682,R.Fitzpatrick,2017,2021,5,3,3,1340,103.70123802375348,0.0968389453432874,65.23814478544841
00-0023742,J.Ryan,2017,2017,1,0,0,1,-80.82986196186059,-2.383788679674834,-2.38945455995526
00-0023853,M.Prater,2018,2018,1,0,0,1,378.71969409345894,4.039053296793174,3.9827556821248136
00-0024226,J.Cutler,2017,2017,1,1,0,455,92.12497410415182,-0.09839335159892432,-47.34695050510439
00-0024264,K.Clemens,2017,2017,1,0,0,8,9.96300504295769,-1.184067418361085,-9.517866389132088
00-0024417,S.Koch,2017,2021,5,0,0,6,239.88546333194458,1.9771266207841534,11.634477156384412
00-0025430,D.Stanton,2017,2017,1,0,0,167,90.40469799987615,-0.12112478288548126,-21.17404074870651
00-0025708,M.Moore,2017,2019,2,0,0,239,94.08583046071215,-0.059312094963917324,-19.15544126855772
00-0025825,B.Kern,2019,2020,2,0,0,3,85.92352903801469,-0.12755190213374953,-0.5451192825268087
00-0026035,D.Amendola,2018,2021,3,0,0,3,200.4017619730197,1.3698987803165537,3.970630779357548
00-0026143,M.Ryan,2017,2022,6,6,4,3724,101.73082393176357,0.06757668143553548,96.06764187578807
00-0026158,J.Flacco,2017,2025,9,7,0,2575,92.38332470555417,-0.06136735411587629,-244.8297341786537
00-0026197,C.Henne,2017,2022,5,0,0,64,108.60060377068935,0.1647548081378212,6.529587485440392
00-0026300,J.Johnson,2018,2025,5,0,0,273,105.06655508341677,0.10286677479277231,15.081604239724177
00-0026498,M.Stafford,2017,2025,9,9,7,4836,105.72214591025286,0.10783999029666315,339.6270736600965
00-0026544,C.Daniel,2018,2022,4,0,0,221,86.89624625349511,-0.11915826055810047,-38.19620911019262
00-0026625,B.Hoyer,2017,2023,7,1,0,390,86.51835694795793,-0.14913635983332238,-65.22026073434125
00-0026898,M.Sanchez,2018,2018,1,0,0,43,46.12096852464507,-0.713604991079683,-33.10581204716586
00-0027114,T.Morstead,2023,2023,1,0,0,1,320.63012270531465,2.6707808141407843,2.671911892722511
00-0027150,J.Edelman,2018,2020,3,0,0,6,257.7731842190112,2.0280976810191382,11.815642034485007
00-0027685,E.Sanders,2018,2019,2,0,0,2,327.57775737314387,2.9629016944500397,5.8272166092527105
00-0027688,C.McCoy,2018,2022,5,0,0,436,85.10777802705458,-0.14020095896798632,-78.84759231581505
00-0027690,E.Decker,2017,2017,1,0,0,1,35.63424387715925,-0.8448521027788558,-0.8505179830592818
00-0027793,A.Brown,2018,2018,1,0,0,1,64.42166738108693,-0.45209777109504584,-0.508395385763406
00-0027796,J.Webb,2017,2017,1,0,0,7,38.45357104319323,-0.8075980006090135,-5.692847166226077
00-0027854,S.Bradford,2017,2018,2,0,0,135,89.18873406915048,-0.12411759488318957,-21.92573003883838
00-0027891,G.Tate,2020,2020,1,0,0,2,171.05524257731253,0.9406054382202919,1.725440384105497
00-0027939,C.Newton,2017,2021,5,3,2,1732,95.60331026900587,-0.00956818297704832,-91.36910140279727
00-0027948,B.Gabbert,2017,2023,6,1,0,392,80.90219714221892,-0.23161752748454584,-99.9785630282949
00-0027973,A.Dalton,2017,2025,9,6,1,2840,94.31080408413968,-0.033271299318095145,-200.91355993900245
00-0027994,S.Vereen,2017,2017,1,0,0,1,-207.72177701802497,-4.0605165262976275,-4.066182406578053
00-0028002,R.Cobb,2017,2020,3,0,0,3,86.14869116641432,-0.10701014785293894,-0.44687073498579466
00-0028012,R.Mallett,2017,2017,1,0,0,16,98.3411894161799,-0.01625335623620068,-0.3507077842660268
00-0028064,B.Powell,2019,2019,1,0,0,1,50.123507154121604,-0.5491701247886495,-0.5914592897676579
00-0028090,T.Yates,2017,2017,1,0,0,115,81.56244128360723,-0.23796483574931637,-28.01753234342037
00-0028118,T.Taylor,2017,2025,9,2,2,1255,98.24626267497361,-0.00199279974902994,-29.992921021678836
00-0028595,S.Tolzien,2017,2017,1,0,0,23,9.333196458497383,-1.192389600204895,-27.555276051162384
