season,min_dropbacks,qualifiers,qualified_dropbacks,leader_ids,leader_names
2017,100,45,18633,00-0031345,J.Garoppolo
2018,100,44,18862,00-0033873,P.Mahomes
2019,100,43,18793,00-0034796,L.Jackson
2020,100,44,18859,00-0023459,A.Rodgers
2021,100,44,19611,00-0023459,A.Rodgers
2022,100,48,18822,00-0033873,P.Mahomes
2023,100,48,19467,00-0037834,B.Purdy
2024,100,47,19241,00-0034796,L.Jackson
2025,100,45,18468,00-0039851,D.Maye
2017,200,36,17272,00-0032950,C.Wentz
2018,200,36,17744,00-0033873,P.Mahomes
2019,200,34,17409,00-0034796,L.Jackson
2020,200,36,17647,00-0023459,A.Rodgers
2021,200,35,18289,00-0023459,A.Rodgers
2022,200,35,16925,00-0033873,P.Mahomes
2023,200,39,18069,00-0037834,B.Purdy
2024,200,40,18179,00-0034796,L.Jackson
2025,200,38,17278,00-0039851,D.Maye
2017,300,29,15533,00-0032950,C.Wentz
2018,300,31,16563,00-0033873,P.Mahomes
2019,300,30,16391,00-0034796,L.Jackson
2020,300,32,16568,00-0023459,A.Rodgers
2021,300,31,17340,00-0023459,A.Rodgers
2022,300,31,15956,00-0033873,P.Mahomes
2023,300,30,15902,00-0037834,B.Purdy
2024,300,31,15789,00-0034796,L.Jackson
2025,300,29,14913,00-0039851,D.Maye
2017,400,27,14787,00-0032950,C.Wentz
2018,400,26,14694,00-0033873,P.Mahomes
2019,400,26,15053,00-0034796,L.Jackson
2020,400,26,14485,00-0023459,A.Rodgers
2021,400,30,16991,00-0023459,A.Rodgers
2022,400,24,13493,00-0033873,P.Mahomes
2023,400,25,14167,00-0037834,B.Purdy
2024,400,23,13040,00-0034796,L.Jackson
2025,400,24,13247,00-0039851,D.Maye
